,date,avg,rolling_avg,gain,rolling_gain,release_Dates
70,2018-09-01,333163.99,312623.90142857144,49632.68,17748.2775,No Releases
71,2018-10-01,325907.82,331838.84857142856,-7256.17,14761.395,Call of Duty
72,2018-11-01,310085.43,345846.2342857143,-15822.39,9194.542500000001,Battlefield
73,2018-12-01,395509.26,361090.3557142857,85423.83,27994.487500000003,No Releases
74,2019-01-01,401366.87,363779.77428571426,5857.61,17050.719999999998,No Releases
75,2019-02-01,371358.96,369281.12999999995,-30007.91,11362.785,No Releases
76,2019-03-01,390240.16,380608.4571428572,18881.2,20038.6825,No Releases
77,2019-04-01,351989.92,380361.8242857143,-38250.24,-10879.835000000001,No Releases
78,2019-05-01,364417.31,382323.3142857143,12427.39,-9237.390000000001,No Releases
79,2019-06-01,389376.72,387975.6914285714,24959.42,4504.442499999998,No Releases
80,2019-07-01,393782.83,390654.9985714286,4406.1,885.6674999999982,No Releases
81,2019-08-01,415097.3,401239.4114285714,21314.48,15776.847499999996,No Releases
82,2019-09-01,410925.6,414422.8757142857,-4171.7,11627.074999999997,No Releases
83,2019-10-01,408995.31,430397.0585714285,-1930.29,4904.647499999997,Call of Duty
84,2019-11-01,426080.81,451853.67571428564,17085.5,8074.497499999998,No Releases
85,2019-12-01,456701.56,488415.95999999996,30620.76,10401.067499999997,Halo
86,2020-01-01,501196.0,552227.1914285714,44494.44,22567.602499999997,No Releases
87,2020-02-01,543979.15,603627.1828571428,42783.15,33745.9625,No Releases
88,2020-03-01,671033.29,638708.1328571428,127054.13,61238.12,No Releases
89,2020-04-01,857604.22,662879.4542857142,186570.94,100225.66500000001,No Releases
90,2020-05-01,768795.25,682702.5485714285,-88808.97,66899.8125,No Releases
91,2020-06-01,671647.46,691684.1442857143,-97147.79,31917.077500000003,Valorant
92,2020-07-01,625900.81,683488.9157142857,-45746.65,-11283.117499999998,No Releases
93,2020-08-01,639957.66,656510.3957142857,14056.85,-54411.64,No Releases
94,2020-09-01,606850.32,649225.8957142857,-33107.34,-40486.2325,No Releases
95,2020-10-01,613666.69,659449.0671428571,6816.37,-14495.192500000001,No Releases
96,2020-11-01,668754.58,675893.7000000001,55087.89,10713.4425,Call of Duty
